code,science,sc_code,sphere,occupation
"2","Математические и естественные науки","05.01.01","Гидрометнаблюдатель","Гидрометнаблюдатель"
"4","Инженерное дело; технологии и технические науки","08.01.01","Изготовитель арматурных сеток и каркасов","Арматурщик"
"5","Инженерное дело; технологии и технические науки","08.01.01","Изготовитель арматурных сеток и каркасов","Сварщик арматурных сеток и каркасов"
"6","Инженерное дело; технологии и технические науки","08.01.02","Монтажник трубопроводов","Монтажник наружных трубопроводов"
"7","Инженерное дело; технологии и технические науки","08.01.02","Монтажник трубопроводов","Монтажник технологических трубопроводов"
"8","Инженерное дело; технологии и технические науки","08.01.03","Трубоклад","Трубоклад промышленных железобетонных труб"
"9","Инженерное дело; технологии и технические науки","08.01.03","Трубоклад","Трубоклад промышленных кирпичных труб"
"10","Инженерное дело; технологии и технические науки","08.01.04","Кровельщик","Кровельщик по рулонным кровлям и по кровлям из штучных материалов"
"11","Инженерное дело; технологии и технические науки","08.01.04","Кровельщик","Кровельщик по стальным кровлям"
"12","Инженерное дело; технологии и технические науки","08.01.05","Мастер столярно-плотничных и паркетных работ","Столяр строительный"
"13","Инженерное дело; технологии и технические науки","08.01.05","Мастер столярно-плотничных и паркетных работ","Плотник"
"14","Инженерное дело; технологии и технические науки","08.01.05","Мастер столярно-плотничных и паркетных работ","Стекольщик"
"15","Инженерное дело; технологии и технические науки","08.01.05","Мастер столярно-плотничных и паркетных работ","Паркетчик"
"16","Инженерное дело; технологии и технические науки","08.01.06","Мастер сухого строительства","Маляр строительный"
"17","Инженерное дело; технологии и технические науки","08.01.06","Мастер сухого строительства","Облицовщик-плиточник"
"18","Инженерное дело; технологии и технические науки","08.01.06","Мастер сухого строительства","Облицовщик синтетическими материалами"
"19","Инженерное дело; технологии и технические науки","08.01.06","Мастер сухого строительства","Штукатур"
"20","Инженерное дело; технологии и технические науки","08.01.06","Мастер сухого строительства","Столяр строительный Монтажник каркасно-обшивных конструкций"
"21","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Арматурщик"
"22","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Бетонщик"
"23","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Каменщик"
"24","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Монтажник по монтажу стальных и железобетонных конструкций"
"25","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Печник"
"26","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Стропальщик"
"27","Инженерное дело; технологии и технические науки","08.01.07","Мастер общестроительных работ","Электросварщик ручной сварки"
"28","Инженерное дело; технологии и технические науки","08.01.08","Мастер отделочных строительных работ","Маляр строительный"
"29","Инженерное дело; технологии и технические науки","08.01.08","Мастер отделочных строительных работ","Монтажник каркасно-обшивных конструкций"
"30","Инженерное дело; технологии и технические науки","08.01.08","Мастер отделочных строительных работ","Облицовщик-плиточник"
"31","Инженерное дело; технологии и технические науки","08.01.08","Мастер отделочных строительных работ","Облицовщик-мозаичник"
"32","Инженерное дело; технологии и технические науки","08.01.08","Мастер отделочных строительных работ","Облицовщик синтетическими материалами"
"33","Инженерное дело; технологии и технические науки","08.01.08","Мастер отделочных строительных работ","Штукатур"
"34","Инженерное дело; технологии и технические науки","08.01.09","Слесарь по строительно-монтажным работам","Слесарь строительный"
"35","Инженерное дело; технологии и технические науки","08.01.09","Слесарь по строительно-монтажным работам","Слесарь по сборке металлоконструкций"
"36","Инженерное дело; технологии и технические науки","08.01.09","Слесарь по строительно-монтажным работам","Электрослесарь строительный"
"37","Инженерное дело; технологии и технические науки","08.01.10","Мастер жилищно-коммунального хозяйства","Слесарь-сантехник"
"38","Инженерное дело; технологии и технические науки","08.01.10","Мастер жилищно-коммунального хозяйства","Электрогазосварщик"
"39","Инженерное дело; технологии и технические науки","08.01.10","Мастер жилищно-коммунального хозяйства","Плотник"
"40","Инженерное дело; технологии и технические науки","08.01.10","Мастер жилищно-коммунального хозяйства","Электромонтажник по освещению и осветительным сетям"
"41","Инженерное дело; технологии и технические науки","08.01.11","Машинист машин и оборудования в производстве цемента","Машинист (обжигальщик) вращающихся печей"
