АВС/ DEF;От;До;Емкость;Оператор;Регион;ИНН
900;0000000;0061999;62000;ООО "Т2 Мобайл";Краснодарский край;7743895280
900;0062000;0062999;1000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
900;0063000;0099999;37000;ООО "Т2 Мобайл";Краснодарский край;7743895280
900;0100000;0199999;100000;ООО "Т2 Мобайл";Тверская обл.;7743895280
900;0200000;0299999;100000;ООО "Т2 Мобайл";Челябинская обл.;7743895280
900;0300000;0499999;200000;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.;6661079603
900;0500000;0599999;100000;ООО "Т2 Мобайл";Кемеровская обл.;7743895280
900;0600000;0999999;400000;ООО "Т2 Мобайл";Челябинская обл.;7743895280
900;1000000;1099999;100000;ООО "Т2 Мобайл";Кемеровская обл.;7743895280
900;1100000;1199999;100000;ООО "Т2 Мобайл";Тверская обл.;7743895280
900;1200000;1399999;200000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
900;1400000;1599999;200000;ООО "Т2 Мобайл";г. Москва * Московская область;7743895280
900;1600000;1629999;30000;ООО "Т2 Мобайл";Республика Тыва;7743895280
900;1630000;1649999;20000;ООО "Т2 Мобайл";Алтайский край;7743895280
900;1650000;1699999;50000;ООО "Т2 Мобайл";Саратовская обл.;7743895280
900;1700000;1719999;20000;ООО "Т2 Мобайл";Белгородская обл.;7743895280
900;1720000;1739999;20000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
900;1740000;1749999;10000;ООО "Т2 Мобайл";Волгоградская обл.;7743895280
900;1750000;1759999;10000;ООО "Т2 Мобайл";Камчатский край;7743895280
900;1760000;1799999;40000;ООО "Т2 Мобайл";Самарская обл.;7743895280
900;1800000;1839999;40000;ООО "Т2 Мобайл";Волгоградская обл.;7743895280
900;1840000;1889999;50000;ООО "Т2 Мобайл";Ростовская обл.;7743895280
900;1890000;1899999;10000;ООО "Т2 Мобайл";Алтайский край;7743895280
900;1900000;1909999;10000;ООО "Т2 Мобайл";Республика Адыгея;7743895280
900;1910000;1919999;10000;ООО "Т2 Мобайл";Кабардино-Балкарская Республика;7743895280
900;1920000;1929999;10000;ООО "Т2 Мобайл";Карачаево-Черкесская Республика;7743895280
900;1930000;1939999;10000;ООО "Т2 Мобайл";Республика Северная Осетия - Алания;7743895280
900;1940000;1949999;10000;ООО "Т2 Мобайл";Чеченская Республика;7743895280
900;1950000;1959999;10000;ООО "Т2 Мобайл";Краснодарский край;7743895280
900;1960000;1969999;10000;ООО "Т2 Мобайл";Республика Ингушетия;7743895280
900;1970000;2169999;200000;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.;6661079603
900;2170000;2187999;18000;ООО "Т2 Мобайл";Чеченская Республика;7743895280
900;2188000;2189999;2000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область;7707840631
900;2190000;2289999;100000;ООО "Т2 Мобайл";Смоленская обл.;7743895280
900;2290000;2989999;700000;ООО "Т2 Мобайл";Краснодарский край;7743895280
900;2990000;3099999;110000;ООО "Т2 Мобайл";Воронежская обл.;7743895280
900;3100000;3149999;50000;ООО "Т2 Мобайл";Саратовская обл.;7743895280
900;3150000;3199999;50000;ООО "Т2 Мобайл";Пензенская обл.;7743895280
900;3200000;3299999;100000;ООО "Т2 Мобайл";Республика Татарстан;7743895280
900;3300000;3349999;50000;ООО "Т2 Мобайл";Чувашская Республика;7743895280
900;3350000;3359999;10000;ПАО "Вымпел-Коммуникации";Чукотский АО;7713076301
900;3360000;3449999;90000;ПАО "Вымпел-Коммуникации";Хабаровский край;7713076301
900;3450000;3549999;100000;ООО "Т2 Мобайл";Калининградская обл.;7743895280
900;3550000;3749999;200000;ООО "Т2 Мобайл";Брянская обл.;7743895280
900;3750000;3849999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Курганская обл.;6661079603
900;3850000;3949999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Ханты - Мансийский - Югра АО;6661079603
900;3950000;4049999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Ямало-Ненецкий АО;6661079603
900;4050000;4149999;100000;ООО "Т2 Мобайл";Магаданская обл.;7743895280
900;4150000;4249999;100000;ООО "Т2 Мобайл";Еврейская автономная обл.;7743895280
900;4250000;4349999;100000;ООО "Т2 Мобайл";Сахалинская обл.;7743895280
900;4350000;4449999;100000;ООО "Т2 Мобайл";Камчатский край;7743895280
900;4450000;4459999;10000;ООО "Т2 Мобайл";Чукотский АО;7743895280
900;4460000;4509999;50000;ООО "Т2 Мобайл";Ульяновская обл.;7743895280
900;4510000;4529999;20000;ООО "Т2 Мобайл";Чувашская Республика;7743895280
900;4530000;4549999;20000;ООО "Т2 Мобайл";Ульяновская обл.;7743895280
900;4550000;4649999;100000;АО "Теле2-Санкт-Петербург";Республика Карелия;7815020097
900;4650000;4650999;1000;ООО "Газпром телеком";г. Москва и Московская область;7740000020
900;4651000;4654999;4000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область;7707840631
900;4655000;4664999;10000;ООО "Т2 Мобайл";Ульяновская обл.;7743895280
900;4665000;4714999;50000;ООО "Т2 Мобайл";Пензенская обл.;7743895280
900;4715000;4734999;20000;ООО "Т2 Мобайл";Тверская обл.;7743895280
900;4735000;4834999;100000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
900;4835000;4884999;50000;ООО "Т2 Мобайл";Орловская обл.;7743895280
900;4885000;4894999;10000;ООО "Т2 Мобайл";Сахалинская обл.;7743895280
900;4895000;4899999;5000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область;7707840631
900;4900000;4999999;100000;ООО "Т2 Мобайл";Тамбовская обл.;7743895280
900;5000000;5099999;100000;АО "Теле2-Санкт-Петербург";Вологодская обл.;7815020097
900;5100000;5199999;100000;ООО "Т2 Мобайл";Тамбовская обл.;7743895280
900;5200000;5299999;100000;ООО "Т2 Мобайл";Кировская обл.;7743895280
900;5300000;5549999;250000;АО "Теле2-Санкт-Петербург";Вологодская обл.;7815020097
900;5550000;5559999;10000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область;7707840631
900;5560000;5609999;50000;АО "Теле2-Санкт-Петербург";Вологодская обл.;7815020097
900;5610000;5709999;100000;ООО "Т2 Мобайл";Калининградская обл.;7743895280
900;5710000;5809999;100000;ООО "Т2 Мобайл";Калужская обл.;7743895280
900;5810000;5909999;100000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
900;5910000;6009999;100000;ООО "Т2 Мобайл";Липецкая обл.;7743895280
900;6010000;6109999;100000;ООО "Т2 Мобайл";Рязанская обл.;7743895280
900;6110000;6199999;90000;ООО "СИМ ТЕЛЕКОМ";г. Москва * Московская область;7707840631
900;6200000;6599999;400000;АО "Теле2-Санкт-Петербург";г. Санкт-Петербург и Ленинградская область;7815020097
900;6600000;6699999;100000;ООО "Т2 Мобайл";Сахалинская обл.;7743895280
900;6700000;6799999;100000;ООО "Т2 Мобайл";Омская обл.;7743895280
900;6800000;6899999;100000;ООО "Т2 Мобайл";Камчатский край;7743895280
900;6900000;6999999;100000;ООО "Т2 Мобайл";Брянская обл.;7743895280
900;7000000;7499999;500000;ООО "Антарес";г. Москва и Московская область;7715650666
900;7500000;7699999;200000;ООО "Антарес";Свердловская обл.;7715650666
900;7700000;7899999;200000;ООО "Антарес";Челябинская обл.;7715650666
900;7900000;7999999;100000;ООО "Антарес";Воронежская обл.;7715650666
